City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Faanui,PF,81.45,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
3,Rikitea,PF,77.2,broken clouds,-23.12,-134.97,Pension Maro'i
4,Cape Town,ZA,68,few clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
5,Sampit,ID,75.43,overcast clouds,-2.54,112.95,Aquarius Boutique Hotel Sampit
6,Biltine,TD,62.91,clear sky,14.53,20.93,Hôtel Trois Étoiles de Biltine
8,Busselton,AU,57,clear sky,-33.64,115.35,Observatory Guest House
9,Adrar,DZ,50,overcast clouds,27.87,-0.29,s.e.t.setif entenne d'adrar
10,Lebu,ET,59,few clouds,8.96,38.73,Dah-Lak Guest House
11,Quelimane,MZ,80.51,overcast clouds,-17.88,36.89,Hotel Flamingo
14,Port Alfred,ZA,72,overcast clouds,-33.59,26.89,The Halyards Hotel
15,Mbaiki,CF,72.82,few clouds,3.87,17.99,
17,Salinas,US,63,clear sky,36.67,-121.66,Good Nite Inn Salinas Monterey
20,Punta Arenas,CL,55.4,broken clouds,-53.16,-70.91,Hotel Dreams Del Estrecho
21,Butaritari,KI,84.61,scattered clouds,3.07,172.79,Isles Sunset Lodge
22,Port Macquarie,AU,78.01,overcast clouds,-31.43,152.91,Rydges Port Macquarie
23,Atuona,PF,81.55,clear sky,-9.8,-139.03,Villa Enata
25,Hobart,AU,57,broken clouds,-42.88,147.33,St Ives Apartments
26,Comodoro Rivadavia,AR,66.2,scattered clouds,-45.87,-67.48,Austral Hotel
27,Richards Bay,ZA,79.07,overcast clouds,-28.77,32.06,BON Hotel Waterfront Richards Bay
33,Kununurra,AU,80.6,broken clouds,-15.77,128.74,Hotel Kununurra
34,Bluff,AU,72.23,broken clouds,-23.58,149.07,Bluff Hotel
35,Katsuura,JP,46.4,broken clouds,33.93,134.5,喜楽の湯
36,Loralai,PK,42.01,broken clouds,30.37,68.6,Saddam Hotel & Resturant
38,Buchanan,LR,73.4,mist,5.88,-10.05,Kamaneahn Hotel Inc
39,Bam,IR,55.56,broken clouds,29.11,58.36,Bam Tourist Hotel
40,Albany,US,42.01,light intensity drizzle,42.65,-73.75,Hilton Albany
41,Esperance,AU,53.6,clear sky,-33.86,121.89,Hospitality Esperance
42,Ribeira Grande,PT,64.4,broken clouds,38.52,-28.7,Quinta da Meia Eira
47,Ushuaia,AR,59,scattered clouds,-54.81,-68.31,Albatros Hotel
49,Mocuba,MZ,75.4,overcast clouds,-16.84,36.99,Phama Lodge
50,Avarua,CK,82.4,clear sky,-21.21,-159.78,Paradise Inn
51,Ponta Do Sol,BR,72.32,moderate rain,-20.63,-46,Hotel Escarpas do Lago
52,Jamestown,AU,55.47,overcast clouds,-33.21,138.6,Jamestown Motel Terraces
53,Mataura,NZ,55,overcast clouds,-46.19,168.86,Ellie's Villa
54,Bredasdorp,ZA,66.2,scattered clouds,-34.53,20.04,Bredasdorp Country Manor
56,Faya,SA,60.8,few clouds,18.39,42.45,مقبرة ال مجمل
57,Shuiji,CN,54.16,broken clouds,27.42,118.34,Century Hotel
58,Te Anau,NZ,47.88,moderate rain,-45.41,167.72,Kingsgate Hotel Te Anau
59,Bitung,ID,73.4,scattered clouds,1.44,125.19,K2 Lembeh
62,Ravar,IR,44.65,overcast clouds,31.27,56.81,computertik
63,Saint-Pierre,FR,44.6,overcast clouds,48.95,4.24,Auberge des Moissons
65,Barrow,AR,77.27,broken clouds,-38.31,-60.23,
66,Hermanus,ZA,64.99,clear sky,-34.42,19.24,Misty Waves Boutique Hotel
67,Kapaa,US,78.8,overcast clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
69,Gweta,BW,76.26,overcast clouds,-20.21,25.26,Gweta Lodge
70,Ambatondrazaka,MG,64.67,overcast clouds,-17.82,48.43,Vahiné
71,San Andres,PH,74.68,light rain,13.32,122.68,El Fresco Lodge
72,Grand Gaube,MU,78.01,light intensity shower rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
73,Namatanai,PG,77.4,heavy intensity rain,-3.66,152.44,Namatanai Hotel
75,Tchollire,CM,68.05,clear sky,8.4,14.17,"Auberge ""l'amicale"""
77,Coquimbo,CL,64.4,scattered clouds,-29.95,-71.34,Hotel San Juan
78,Bathsheba,BB,80.6,shower rain,13.22,-59.52,Atlantis Hotel
79,Senanga,ZM,68.11,light rain,-16.1,23.3,Senanga Sunset Lodge
80,Rehoboth,,74.1,broken clouds,-23.31,17.08,Noble Luminous Accommodation
81,Lumphat,KH,66.99,scattered clouds,13.5,106.97,Lumphat Homestay
82,Ko Samui,TH,80.58,scattered clouds,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
86,Kaitangata,NZ,49.23,light rain,-46.28,169.85,Kaitangata Motor Camp
87,Kinshasa,CD,78.8,scattered clouds,-4.32,15.31,Hotel Finesse
91,Lagoa,PT,53.01,clear sky,37.14,-8.45,Agua Hotels Vale Da Lapa Lagoa
92,Bria,CF,73.2,clear sky,6.54,21.99,
93,Rawson,AR,59.2,clear sky,-43.3,-65.11,Hospedaje Sampedro
94,Georgetown,GY,84.2,few clouds,6.8,-58.16,Kanhai's Center
96,Westport,US,51.01,fog,41.14,-73.36,The Westport Inn
97,Pilar,AR,84.99,broken clouds,-34.46,-58.91,Howard Johnson Resort Pilar
98,Pecos,US,64.4,clear sky,31.42,-103.49,Knights Inn Pecos
99,Palmer,AU,57.2,light rain,-34.85,139.16,Palmer Hotel
102,Ambilobe,MG,79.81,broken clouds,-13.19,49.05,Hôtel & Restaurant DIANA Ambilobe
104,Cidreira,BR,73.17,light rain,-30.17,-50.22,Pond Country Club
105,Dingli,IN,54.95,few clouds,28.39,75.51,Yogendra bhagasara
106,Nantucket,US,46.4,light rain,41.28,-70.1,Jared Coffin House
107,Auki,NG,64.15,broken clouds,12.18,6.51,
108,Margate,AU,57,broken clouds,-43.03,147.26,Villa Howden
109,Samarai,PG,79.09,scattered clouds,-10.62,150.67,Nuli Sapi
110,Mae Sai,MM,62.6,few clouds,20.44,99.89,Piyaporn Hill Paradise Hotel
111,East London,ZA,76.12,scattered clouds,-33.02,27.91,Tu Casa
114,Kavieng,PG,83.77,moderate rain,-2.57,150.8,Nusa Island Retreat
116,Chihuahua,MX,57.2,clear sky,28.66,-106.08,Casa Grande Chihuahua
117,Monrovia,LR,73.4,mist,6.33,-10.8,Eco-Hotel Hall & Restaurant
118,Cabedelo,BR,80.6,few clouds,-6.97,-34.84,Lua Mansa Pousada
119,Loandjili,CG,80.6,scattered clouds,-4.77,11.87,Résidence ARCHANGE
120,San Ramon,NI,77,scattered clouds,12.92,-85.84,Casagallovago
121,Aztec,US,41,clear sky,36.82,-107.99,Presidential Inn & Suites
122,Olinda,AU,57.2,light rain,-37.84,145.39,Mary Cards Coach House
123,Airai,TL,69.01,overcast clouds,-8.93,125.41,Juvinal Martin
125,New Norfolk,AU,57,broken clouds,-42.78,147.06,The Shingles Riverside Cottages
127,Balikpapan,ID,73.58,overcast clouds,-1.24,116.86,Grand Jatra Hotel Balikpapan
129,Kavaratti,IN,80.37,broken clouds,10.57,72.64,Hotels in Lakshadweep Islands
130,Moron,HT,80.19,clear sky,18.56,-74.26,
131,Riyadh,SA,66.2,thunderstorm with rain,24.63,46.72,Al Salam Hotel
132,Salalah,OM,77,scattered clouds,17.01,54.1,HAMDAN PLAZA HOTEL
134,Pakokku,MM,63.54,light rain,21.33,95.09,Royal Palace Motel
135,Puerto Ayora,EC,82.4,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
136,San Jose,HN,77.9,overcast clouds,14.25,-87.96,APUFRAM
138,Quatre Cocos,MU,78.01,light intensity shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
139,Hithadhoo,MV,83.03,overcast clouds,-0.6,73.08,Scoop Guest House
141,Fortuna,US,54,scattered clouds,40.6,-124.16,Super 8 By Wyndham Fortuna
147,Ancud,CL,60.8,clear sky,-41.87,-73.83,HOTEL ANCUD DON LUCAS
148,Stabat,ID,75.2,mist,3.76,98.46,Kos & home stay Sentosa
149,Maxixe,MZ,78.93,few clouds,-23.86,35.35,Oceano
150,Castro,CL,60.8,clear sky,-42.48,-73.76,Hotel Esmeralda
151,San Quintin,PH,68.83,broken clouds,17.54,120.52,San Quintin River Resort
152,Sola,TZ,65.82,clear sky,-3.17,33.8,Peace Hotel
155,Taltal,CL,64.49,clear sky,-25.41,-70.49,Residencial Karime
156,Ratnagiri,IN,61.45,clear sky,16.98,73.3,Hotel Landmark
161,Vanimo,PG,82.44,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
164,Moncao,PT,51.01,clear sky,42.08,-8.48,Hotel Bienestar Termas de Monção
167,Puerto Del Rosario,ES,64.4,few clouds,28.5,-13.86,Hotel JM Puerto del Rosario
168,Flinders,AU,71.01,overcast clouds,-34.58,150.85,Shellharbour Resort & Conference Centre
169,Antalaha,MG,79,overcast clouds,-14.9,50.28,Hotel Vitasoa
171,Itarema,BR,80.62,broken clouds,-2.92,-39.92,Windvillage
173,Avera,US,64.4,clear sky,33.19,-82.53,
174,Axim,GH,75.2,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
175,Chuy,UY,74.25,few clouds,-33.69,-53.46,Nuevo Hotel Plaza
177,San Cristobal,HN,80.58,light rain,14.68,-86.92,
178,Bambous Virieux,MU,78.01,light intensity shower rain,-20.34,57.76,Casa Tia Villa
179,Karpathos,GR,58.3,clear sky,35.51,27.21,Alex
181,Dingle,PH,71.56,light rain,11,122.67,Camp Pasica
184,Sao Caetano De Odivelas,BR,77.25,moderate rain,-0.75,-48.02,Hotel do Luttis
186,Lunavada,IN,58.5,clear sky,23.13,73.61,Mohammadi apartment
187,Peniche,PT,54,few clouds,39.36,-9.38,Hotel Star inn Peniche
188,Camacha,PT,64.4,broken clouds,33.08,-16.33,Hotel Porto Santo & Spa
189,Vaini,IN,59.25,clear sky,15.34,74.49,Dandeli Lake County
191,Victoria,BN,80.6,broken clouds,5.28,115.24,Tiara Labuan Hotel
192,Antofagasta,CL,68,overcast clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
198,Half Moon Bay,US,62.01,few clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
200,Champerico,MX,71.6,broken clouds,16.38,-93.6,
203,Shingu,JP,45.52,clear sky,33.72,135.99,新宮ユーアイホテル
204,Kiama,AU,70,overcast clouds,-34.67,150.86,The Sebel Kiama Harbourside
205,Maun,BW,71.78,light rain,-19.99,23.42,Enviro Villa
207,Llangefni,GB,48.99,overcast clouds,53.26,-4.31,Bull Hotel
208,Tezu,IN,52.48,moderate rain,27.93,96.16,Circuit House
209,Alofi,NU,84.2,clear sky,-19.06,-169.92,Taloa Heights
212,Fare,PF,81.61,overcast clouds,-16.7,-151.02,Maitai Lapita Village Huahine
213,Coihaique,CL,60.8,broken clouds,-45.58,-72.07,Diego De Almagro Coyhaique
214,Bara,NG,66.18,scattered clouds,10.41,10.6,
215,Kidal,ML,55.78,clear sky,18.44,1.41,
216,Ligayan,PH,82,overcast clouds,4.65,119.47,
218,Mar Del Plata,AR,64.15,few clouds,-46.43,-67.52,Hotel Costanera Del Sur
219,Bonthe,SL,77.74,scattered clouds,7.53,-12.5,Bonthe Holiday Village
220,Pringsewu,ID,72.46,moderate rain,-5.36,104.98,Urban Style by Front One
221,Carnarvon,ZA,72.52,clear sky,-30.97,22.13,Maritza Bed & Breakfast
222,Gizo,IL,53.6,scattered clouds,31.8,34.94,בקתות לשקיעה
223,Areosa,PT,51.01,clear sky,41.72,-8.86,Hotel Flôr de Sal
224,Shahr-E Babak,IR,48.61,light rain,30.12,55.12,اقامتگاه گردشگری دوناdunagarden ecolodge
226,Gladstone,AU,78.8,scattered clouds,-23.84,151.26,Metro Hotel and Apartments Gladstone
227,Klaksvik,FO,46.4,light rain,62.23,-6.59,Airbnb rooms
228,Christchurch,NZ,59,light rain,-43.53,172.64,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
229,Tuatapere,NZ,55,light rain,-46.13,167.69,Ron and Tony's Bed & Breakfast
230,Sao Jose Da Coroa Grande,BR,80.29,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
231,Kruisfontein,ZA,68.18,scattered clouds,-34,24.73,Oyster Bay House Rental
233,Umm Kaddadah,SD,60.87,clear sky,13.6,26.69,
234,Pacific Grove,US,63,few clouds,36.62,-121.92,Lovers Point Inn
235,Maceio,BR,80.6,overcast clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
236,Port Elizabeth,US,57.99,overcast clouds,39.31,-74.98,HAMMER RUN
237,Mayumba,GA,80.76,light rain,-3.44,10.65,LIKWALE LODGE
238,Brookhaven,US,50,overcast clouds,40.78,-72.92,SpringHill Suites by Marriott Long Island Brookhaven
239,Roswell,US,61,clear sky,33.39,-104.52,Candlewood Suites Roswell
240,Codrington,AU,78.8,clear sky,-28.95,153.24,
242,Hilo,US,75.99,heavy intensity rain,19.71,-155.08,Hilo Seaside Hotel
243,Pedernales,EC,77.85,scattered clouds,0.07,-80.05,L'Vanna Hotel
245,Karwar,IN,69.1,clear sky,14.8,74.13,Netalco Connects
247,Annau,TM,41,overcast clouds,37.89,58.52,Buzmein Sokak
249,Mahebourg,MU,78.01,light intensity shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
251,Lafia,NG,74.19,clear sky,8.5,8.51,Suites11
252,Imbituba,BR,75.2,broken clouds,-28.24,-48.67,Praia Hotel Imbituba
253,Arraial Do Cabo,BR,77,light rain,-22.97,-42.02,Pousada Porto Praia
254,Sahuaripa,MX,71.17,clear sky,29.05,-109.23,Hotel El Molino de Don Pepe
256,Inhambane,MZ,78.93,few clouds,-23.87,35.38,MHL Turismo SA
257,Farah,AF,48.74,light rain,32.37,62.11,هوتل خرما
258,Kendari,ID,75.11,overcast clouds,-3.99,122.52,Hotel Wixel
259,Rio Gallegos,AR,62.6,broken clouds,-51.62,-69.22,Hotel Santa Cruz
260,Puerto Narino,CO,82.4,broken clouds,-3.77,-70.38,Eware Refugio Amazonico
261,Sao Filipe,CV,70.59,scattered clouds,14.9,-24.5,Tortuga B&B
263,Cochrane,CL,44.73,light rain,-47.25,-72.57,Cabañas Hervila
264,Tabou,CI,73.47,clear sky,4.42,-7.36,Hotel Les Rochers
